Date,Confirmed,Recovered,Active,Death,District
03-02-2020,1,0,1,0,KSD
16-02-2020,0,1,0,0,KSD
16-03-2020,1,0,1,0,KSD
19-03-2020,1,0,2,0,KSD
20-03-2020,6,0,8,0,KSD
21-03-2020,6,0,14,0,KSD
22-03-2020,5,0,19,0,KSD
23-03-2020,19,0,38,0,KSD
24-03-2020,6,0,44,0,KSD
26-03-2020,3,0,47,0,KSD
27-03-2020,34,0,81,0,KSD
28-03-2020,1,0,82,0,KSD
29-03-2020,7,0,89,0,KSD
30-03-2020,17,0,106,0,KSD
31-03-2020,2,0,108,0,KSD
01-04-2020,12,0,120,0,KSD
02-04-2020,8,0,128,0,KSD
03-04-2020,7,4,131,0,KSD
04-04-2020,6,0,137,0,KSD
05-04-2020,1,0,138,0,KSD
06-04-2020,9,0,147,0,KSD
07-04-2020,4,1,150,0,KSD
08-04-2020,1,0,151,0,KSD
09-04-2020,4,0,155,0,KSD
10-04-2020,3,18,140,0,KSD
11-04-2020,2,9,133,0,KSD
12-04-2020,0,28,105,0,KSD
13-04-2020,0,12,93,0,KSD
14-04-2020,1,6,88,0,KSD
15-04-2020,0,4,84,0,KSD
16-04-2020,1,24,61,0,KSD
17-04-2020,0,6,55,0,KSD
18-04-2020,0,2,53,0,KSD
19-04-2020,1,8,46,0,KSD
20-04-2020,0,19,27,0,KSD
21-04-2020,3,4,26,0,KSD
23-04-2020,0,6,20,0,KSD
24-04-2020,3,5,18,0,KSD
25-04-2020,0,2,16,0,KSD
26-04-2020,0,1,15,0,KSD
28-04-2020,1,2,14,0,KSD
29-04-2020,2,3,13,0,KSD
30-04-2020,1,2,12,0,KSD
09-03-2020,1,0,1,0,KNR
12-03-2020,1,0,2,0,KNR
21-03-2020,3,0,5,0,KNR
22-03-2020,4,0,9,0,KNR
23-03-2020,5,1,13,0,KNR
26-03-2020,9,1,21,0,KNR
27-03-2020,2,0,23,0,KNR
29-03-2020,8,0,31,0,KNR
30-03-2020,11,0,42,0,KNR
31-03-2020,1,2,41,0,KNR
01-04-2020,2,0,43,0,KNR
02-04-2020,1,0,44,0,KNR
03-04-2020,1,5,40,0,KNR
04-04-2020,1,7,34,0,KNR
05-04-2020,1,4,31,0,KNR
06-04-2020,0,1,30,0,KNR
07-04-2020,2,5,27,0,KNR
08-04-2020,4,1,30,0,KNR
09-04-2020,4,3,31,0,KNR
10-04-2020,2,6,27,0,KNR
11-04-2020,7,0,34,0,KNR
12-04-2020,1,0,35,0,KNR
13-04-2020,2,1,36,0,KNR
14-04-2020,4,0,40,0,KNR
15-04-2020,1,0,41,0,KNR
16-04-2020,4,1,44,0,KNR
18-04-2020,3,0,47,0,KNR
19-04-2020,1,3,45,0,KNR
20-04-2020,6,0,51,0,KNR
21-04-2020,10,7,54,0,KNR
22-04-2020,7,0,61,0,KNR
23-04-2020,0,1,60,0,KNR
24-04-2020,0,3,57,0,KNR
25-04-2020,1,2,56,0,KNR
26-04-2020,0,1,55,0,KNR
27-04-2020,1,6,50,0,KNR
28-04-2020,3,2,51,0,KNR
29-04-2020,0,3,48,0,KNR
30-04-2020,0,2,46,0,KNR
26-03-2020,1,0,1,0,WYD
30-03-2020,2,0,3,0,WYD
08-04-2020,0,2,1,0,WYD
25-04-2020,0,1,0,0,WYD
22-03-2020,2,0,2,0,KKD
24-03-2020,2,0,4,0,KKD
25-03-2020,1,0,5,0,KKD
27-03-2020,1,0,6,0,KKD
01-04-2020,0,1,5,0,KKD
02-04-2020,1,0,6,0,KKD
03-04-2020,0,1,5,0,KKD
05-04-2020,5,1,9,0,KKD
08-04-2020,0,2,7,0,KKD
10-04-2020,0,1,6,0,KKD
11-04-2020,1,0,7,0,KKD
12-04-2020,0,1,6,0,KKD
14-04-2020,3,0,9,0,KKD
15-04-2020,0,2,7,0,KKD
16-04-2020,2,0,9,0,KKD
17-04-2020,1,0,10,0,KKD
18-04-2020,1,0,11,0,KKD
21-04-2020,0,4,7,0,KKD
22-04-2020,2,0,9,0,KKD
23-04-2020,2,0,11,0,KKD
25-04-2020,0,2,9,0,KKD
27-04-2020,0,4,5,0,KKD
29-04-2020,0,3,2,0,KKD
30-04-2020,0,1,1,0,KKD
16-03-2020,2,0,2,0,MLPM
22-03-2020,2,0,4,0,MLPM
24-03-2020,1,0,5,0,MLPM
26-03-2020,3,0,8,0,MLPM
28-03-2020,1,0,9,0,MLPM
29-03-2020,1,0,10,0,MLPM
01-04-2020,2,0,12,0,MLPM
02-04-2020,1,1,12,0,MLPM
05-04-2020,0,1,11,0,MLPM
06-04-2020,2,0,13,0,MLPM
07-04-2020,1,0,14,0,MLPM
09-04-2020,2,2,14,0,MLPM
10-04-2020,2,0,16,0,MLPM
12-04-2020,0,6,10,0,MLPM
14-04-2020,0,1,9,0,MLPM
16-04-2020,0,1,8,0,MLPM
17-04-2020,0,1,7,0,MLPM
19-04-2020,0,1,6,0,MLPM
21-04-2020,1,0,7,0,MLPM
22-04-2020,1,0,8,0,MLPM
23-04-2020,0,1,7,0,MLPM
24-04-2020,0,3,3,1,MLPM
26-04-2020,0,1,2,0,MLPM
27-04-2020,1,1,2,0,MLPM
30-04-2020,1,1,2,0,MLPM
24-03-2020,1,0,1,0,PKD
25-03-2020,2,0,3,0,PKD
28-03-2020,1,0,4,0,PKD
29-03-2020,1,0,5,0,PKD
01-04-2020,1,0,6,0,PKD
04-04-2020,1,0,7,0,PKD
11-04-2020,0,4,3,0,PKD
13-04-2020,1,0,4,0,PKD
14-04-2020,0,2,2,0,PKD
21-04-2020,4,0,6,0,PKD
22-04-2020,0,1,5,0,PKD
27-04-2020,1,0,6,0,PKD
30-04-2020,0,4,2,0,PKD
30-01-2020,1,0,1,0,TSR
20-02-2020,0,1,0,0,TSR
12-03-2020,1,0,1,0,TSR
23-03-2020,1,0,2,0,TSR
25-03-2020,0,1,1,0,TSR
26-03-2020,2,0,3,0,TSR
27-03-2020,1,0,4,0,TSR
29-03-2020,1,0,5,0,TSR
31-03-2020,1,0,6,0,TSR
01-04-2020,2,0,8,0,TSR
02-04-2020,1,0,9,0,TSR
03-04-2020,1,0,10,0,TSR
06-04-2020,0,1,9,0,TSR
08-04-2020,1,3,7,0,TSR
10-04-2020,0,1,6,0,TSR
11-04-2020,0,1,5,0,TSR
13-04-2020,0,3,2,0,TSR
14-04-2020,0,1,1,0,TSR
19-04-2020,0,1,0,0,TSR
10-03-2020,2,0,2,0,EKM
20-03-2020,6,0,8,0,EKM
21-03-2020,3,0,11,0,EKM
22-03-2020,2,0,13,0,EKM
23-03-2020,2,0,15,0,EKM
24-03-2020,1,0,16,0,EKM
25-03-2020,3,0,19,0,EKM
26-03-2020,0,4,15,0,EKM
28-03-2020,0,0,14,1,EKM
29-03-2020,1,0,15,0,EKM
01-04-2020,3,0,18,0,EKM
04-04-2020,1,0,19,0,EKM
07-04-2020,0,4,15,0,EKM
09-04-2020,0,6,9,0,EKM
10-04-2020,0,1,8,0,EKM
14-04-2020,0,2,6,0,EKM
16-04-2020,0,1,5,0,EKM
17-04-2020,0,2,3,0,EKM
27-04-2020,0,1,2,0,EKM
15-03-2020,1,0,1,0,IDK
25-03-2020,1,0,2,0,IDK
26-03-2020,1,0,3,0,IDK
30-03-2020,2,0,5,0,IDK
02-04-2020,5,0,10,0,IDK
03-04-2020,0,2,8,0,IDK
28-03-2020,0,1,7,0,IDK
08-04-2020,0,2,5,0,IDK
09-04-2020,0,2,3,0,IDK
11-04-2020,0,2,1,0,IDK
12-04-2020,0,1,0,0,IDK
23-04-2020,4,0,4,0,IDK
26-04-2020,6,0,10,0,IDK
27-04-2020,4,0,14,0,IDK
10-03-2020,2,0,2,0,KTYM
24-03-2020,1,0,3,0,KTYM
28-03-2020,0,2,1,0,KTYM
03-04-2020,0,1,0,0,KTYM
22-04-2020,1,0,1,0,KTYM
23-04-2020,2,0,3,0,KTYM
25-04-2020,3,0,6,0,KTYM
26-04-2020,5,0,11,0,KTYM
27-04-2020,6,0,17,0,KTYM
02-02-2020,1,0,1,0,ALP
16-02-2020,0,1,0,0,ALP
24-03-2020,1,0,1,0,ALP
04-04-2020,1,0,2,0,ALP
07-04-2020,0,1,1,0,ALP
08-04-2020,2,0,3,0,ALP
17-04-2020,0,1,2,0,ALP
20-04-2020,0,2,0,0,ALP
09-03-2020,5,0,5,0,PTA
10-03-2020,4,0,9,0,PTA
23-03-2020,1,0,10,0,PTA
25-03-2020,2,0,12,0,PTA
26-03-2020,0,1,11,0,PTA
29-03-2020,0,4,7,0,PTA
31-03-2020,0,2,5,0,PTA
02-04-2020,1,0,6,0,PTA
03-04-2020,0,1,5,0,PTA
05-04-2020,1,0,6,0,PTA
06-04-2020,1,0,7,0,PTA
08-04-2020,1,0,8,0,PTA
12-04-2020,1,0,9,0,PTA
13-04-2020,0,3,6,0,PTA
24-04-2020,0,3,3,0,PTA
29-04-2020,0,1,2,0,PTA
30-04-2020,0,1,1,0,PTA
27-03-2020,1,0,1,0,KLM
28-03-2020,1,0,2,0,KLM
31-03-2020,1,0,3,0,KLM
02-04-2020,2,0,5,0,KLM
04-04-2020,1,0,6,0,KLM
06-04-2020,1,1,6,0,KLM
07-04-2020,1,0,7,0,KLM
08-04-2020,0,1,6,0,KLM
09-04-2020,1,0,7,0,KLM
14-04-2020,0,1,6,0,KLM
15-04-2020,0,1,5,0,KLM
21-04-2020,1,0,6,0,KLM
23-04-2020,1,0,7,0,KLM
24-04-2020,0,1,6,0,KLM
25-04-2020,3,0,9,0,KLM
29-04-2020,6,0,15,0,KLM
30-04-2020,0,3,12,0,KLM
13-03-2020,3,0,3,0,TVM
15-03-2020,1,0,4,0,TVM
24-03-2020,1,0,5,0,TVM
25-03-2020,0,1,4,0,TVM
28-03-2020,2,1,5,0,TVM
29-03-2020,1,0,6,0,TVM
31-03-2020,2,0,7,1,TVM
01-04-2020,2,1,8,0,TVM
02-04-2020,1,1,8,0,TVM
04-04-2020,0,1,7,0,TVM
07-04-2020,0,1,6,0,TVM
08-04-2020,0,2,4,0,TVM
09-04-2020,1,0,5,0,TVM
11-04-2020,0,3,2,0,TVM
21-04-2020,0,1,1,0,TVM
23-04-2020,1,0,2,0,TVM
26-04-2020,0,1,1,0,TVM
27-04-2020,0,1,0,0,TVM
29-04-2020,2,0,2,0,TVM